CustomerID,Recency,Frequency,Monetary,AvgBasketValue,CategoryDiversity,TotalItems,Cluster,SegmentName,IsOutlier
12346,326,1,77183.6,77183.6,1,74215,2,Loyal / Core,True
12347,2,7,4310.0,615.7142857142859,103,2458,3,Champions / VIP,False
12348,75,4,1437.24,359.31,21,2332,2,Loyal / Core,False
12349,19,1,1457.55,1457.5500000000002,72,630,0,Recent / Promising,False
12350,310,1,294.4,294.40000000000003,16,196,1,At risk / Lapsed,False
12352,36,7,1385.74,197.9628571428572,57,526,2,Loyal / Core,False
12353,204,1,89.0,89.0,4,20,1,At risk / Lapsed,False
12354,232,1,1079.4,1079.3999999999999,58,530,1,At risk / Lapsed,False
12355,214,1,459.4,459.4,13,240,1,At risk / Lapsed,False
12356,23,3,2487.43,829.1433333333333,52,1573,2,Loyal / Core,False
12357,33,1,6207.67,6207.67,131,2708,2,Loyal / Core,False
12358,2,2,928.0600000000001,464.03,12,242,0,Recent / Promising,False
12359,58,4,6372.58,1593.145,214,1622,2,Loyal / Core,False
12360,52,3,2302.06,767.3533333333335,104,1156,2,Loyal / Core,False
12361,287,1,174.9,174.89999999999998,9,90,1,At risk / Lapsed,False
12362,3,10,4737.23,473.72300000000007,200,2197,3,Champions / VIP,False
12363,110,2,552.0,276.0,23,408,1,At risk / Lapsed,False
12364,8,4,1208.1,302.025,69,1499,0,Recent / Promising,False
12365,291,1,320.69,320.68999999999994,21,173,1,At risk / Lapsed,False
12367,4,1,150.9,150.89999999999998,10,172,0,Recent / Promising,False
12370,51,4,3425.69,856.4224999999999,142,2350,2,Loyal / Core,False
12371,60,1,1527.96,1527.96,62,582,2,Loyal / Core,False
12372,72,3,1196.04,398.68,33,788,2,Loyal / Core,False
12373,311,1,324.6,324.6,13,196,1,At risk / Lapsed,False
12374,25,1,622.93,622.93,32,339,0,Recent / Promising,False
12375,11,2,377.5,188.75000000000003,13,176,0,Recent / Promising,False
12377,315,2,1548.12,774.06,71,942,2,Loyal / Core,False
12378,130,1,4008.62,4008.62,219,2529,2,Loyal / Core,False
12379,82,2,777.24,388.6199999999999,38,402,2,Loyal / Core,False
12380,22,4,2427.81,606.9525,76,1110,2,Loyal / Core,False
12381,5,3,1474.81,491.6033333333333,69,797,0,Recent / Promising,False
12383,185,5,1628.56,325.71200000000005,83,1518,2,Loyal / Core,False
12384,29,2,425.27000000000004,212.635,25,122,0,Recent / Promising,False
12386,338,2,401.9,200.95,10,354,1,At risk / Lapsed,False
